total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
255,17,13,refinement,1,10,0,50,0.21879550244407384,148,2.6682491819075464e-06,0.002291760187300978,8.587031402211054e-07,1,False,,100,0.40634247,0.647932,0.422106,0.608329,0.395833,0.302010,0.256026,0.43195906
256,17,14,refinement,1,10,0,58,0.10448096424204707,139,2.6682491819075464e-06,0.002291760187300978,8.587031402211054e-07,1,False,,61,0.39992962,0.640116,0.399824,0.621696,0.400000,0.302612,0.251719,0.43195906
257,18,1,refinement,,10,0,29,0.0,64,0.0005086434470555496,0.0005423214232444702,3.032758011732425e-07,3,False,['typical_price'],112,0.26431469,0.650690,0.455618,0.539943,0.382040,0.288170,0.254237,0.43195906
258,18,2,refinement,1,10,0,58,0.09986134102079627,182,1e-07,0.0005423214232444702,8.587031402211054e-07,4,False,,137,0.20246076,0.680032,0.492392,0.531034,0.380880,0.350230,0.240575,0.43195906
259,18,3,refinement,1,10,0,53,0.2183904329441271,256,0.00021766280539074005,0.0002411431405197795,8.750163176711506e-07,1,False,,74,0.37313219,0.670674,0.365810,0.642263,0.378014,0.338790,0.253221,0.43195906
260,18,4,refinement,,10,0,64,0.0,94,0.0004103464196228434,0.0005423214232444702,7.830088028335914e-07,2,False,,48,0.40026972,0.592285,0.421013,0.505194,0.386441,0.330558,0.256661,0.43195906
261,18,5,refinement,,10,0,60,0.21879550244407384,174,2.6682491819075464e-06,0.002291760187300978,4.911649274965843e-07,1,False,,87,0.39046451,0.643112,0.414841,0.555307,0.374214,0.301048,0.261603,0.43195906
262,18,6,refinement,1,10,0,64,0.2123701821354295,94,0.0006311214358262729,0.01,8.587031402211054e-07,1,True,,56,0.39241897,0.530838,0.395586,0.488742,0.390308,0.458702,0.290135,0.43195906
263,18,7,refinement,,10,0,16,0.17419682175845347,94,0.0004684536651669134,1e-05,1e-06,1,True,,56,0.38911107,0.525435,0.394077,0.496431,0.385800,0.432153,0.291845,0.43195906
264,18,8,refinement,,10,0,37,0.1307215830549245,148,2.6682491819075464e-06,4.5987562420598746e-05,8.750163176711506e-07,2,False,,48,0.38861434,0.558847,0.391281,0.500820,0.386837,0.391773,0.283737,0.43195906
