DATE_TIME,Uncertainty_1,Uncertainty_2,Uncertainty_3,Uncertainty_4,Uncertainty_5,Uncertainty_6
2017-05-10 19:00:00,0.202402,0.19023368,0.22398956,0.1934128,0.19597787,0.19036688
2017-05-10 20:00:00,0.21908256,0.19902013,0.20982495,0.20143002,0.21224721,0.19447486
2017-05-10 21:00:00,0.20314202,0.20512281,0.21890599,0.1861475,0.1736458,0.18183845
2017-05-10 22:00:00,0.19777052,0.20958026,0.20239556,0.19912972,0.18883952,0.2002012
2017-05-10 23:00:00,0.20844163,0.20539923,0.22099571,0.17293814,0.19971639,0.19455133
2017-05-11 00:00:00,0.2175237,0.19379911,0.21853884,0.20700216,0.21285191,0.20033392
2017-05-11 01:00:00,0.22009557,0.19677828,0.20710136,0.18626234,0.18049355,0.17069049
2017-05-11 02:00:00,0.20358382,0.19321054,0.20561288,0.17631249,0.19288023,0.18752718
2017-05-11 03:00:00,0.22020262,0.20103297,0.19659005,0.1774964,0.18852407,0.1945748
2017-05-11 04:00:00,0.20002282,0.18938291,0.20327082,0.19800402,0.18579797,0.1983142
2017-05-11 05:00:00,0.17701581,0.18136366,0.1989795,0.18080233,0.20021433,0.18030696
2017-05-11 06:00:00,0.1895034,0.19614814,0.22560856,0.16621621,0.1987841,0.19296302
2017-05-11 07:00:00,0.20580332,0.17872198,0.19956155,0.17634977,0.18848453,0.18136868
2017-05-11 08:00:00,0.20100601,0.205188,0.20543759,0.15520182,0.18243998,0.1799609
2017-05-11 09:00:00,0.17020813,0.18605727,0.19318648,0.17462823,0.18578729,0.17193903
2017-05-11 10:00:00,0.19298582,0.1818818,0.21878879,0.20585193,0.19425716,0.1861263
2017-05-11 11:00:00,0.19802736,0.19974923,0.21009946,0.17358783,0.19387159,0.17590399
2017-05-11 12:00:00,0.19347174,0.21425767,0.18561964,0.18366022,0.19600458,0.20611519
2017-05-11 13:00:00,0.19410302,0.1801003,0.20679396,0.18879886,0.1926242,0.19287597
2017-05-11 14:00:00,0.1959328,0.18528198,0.19766448,0.18664293,0.18530661,0.17603382
2017-05-11 15:00:00,0.20076989,0.19957848,0.19808811,0.19364071,0.19462098,0.20100458
2017-05-11 16:00:00,0.20178974,0.19364524,0.22881451,0.19987081,0.1919902,0.22499447
2017-05-11 17:00:00,0.20757894,0.19355789,0.20206545,0.17991492,0.20517428,0.19761592
2017-05-11 18:00:00,0.19144689,0.19534463,0.21488933,0.19818877,0.21009448,0.19709638
2017-05-11 19:00:00,0.18439315,0.19248228,0.19719164,0.19818813,0.20379037,0.19175723
2017-05-11 20:00:00,0.18437198,0.19353414,0.20470382,0.21606982,0.18387082,0.17700937
2017-05-11 21:00:00,0.18949364,0.19934897,0.20175584,0.19455633,0.19950308,0.19634221
2017-05-11 22:00:00,0.19068433,0.2114799,0.1891734,0.19602372,0.20498532,0.20337944
2017-05-11 23:00:00,0.20943116,0.1940972,0.21710004,0.20714946,0.19793098,0.20243937
2017-05-12 00:00:00,0.21223365,0.19696617,0.20787607,0.19397506,0.19365248,0.2051173
2017-05-12 01:00:00,0.20746025,0.19297545,0.22666661,0.2143381,0.18896286,0.16434498
2017-05-12 02:00:00,0.18417504,0.20451298,0.21507704,0.1831217,0.19911161,0.18877108
2017-05-12 03:00:00,0.20900139,0.20145759,0.22177176,0.19177473,0.19727522,0.1850391
2017-05-12 04:00:00,0.22603582,0.19935285,0.20722294,0.18565914,0.19296084,0.19378276
2017-05-12 05:00:00,0.21414284,0.19995101,0.20949993,0.18400021,0.20201139,0.18825163
2017-05-12 06:00:00,0.18761729,0.17142256,0.18442516,0.19418833,0.18467778,0.19633992
2017-05-12 07:00:00,0.19511114,0.1861976,0.19695406,0.20302066,0.19625965,0.19687685
2017-05-12 08:00:00,0.22224052,0.19658856,0.19341466,0.18615542,0.19369592,0.18110026
2017-05-12 09:00:00,0.19708726,0.18219571,0.21730623,0.1808242,0.21512842,0.19687892
2017-05-12 10:00:00,0.17967288,0.17822358,0.21483603,0.18631884,0.19626725,0.19558637
2017-05-12 11:00:00,0.20789438,0.19865581,0.19693868,0.1958119,0.17944723,0.18495283
2017-05-12 12:00:00,0.1768448,0.18848155,0.19828874,0.18680231,0.19115041,0.19316141
2017-05-12 13:00:00,0.18196249,0.15985742,0.19142427,0.18391943,0.19683021,0.16900702
2017-05-12 14:00:00,0.18311717,0.17769048,0.19055918,0.18592447,0.19130206,0.18074518
2017-05-12 15:00:00,0.16604581,0.18985112,0.19635198,0.17155588,0.15015446,0.16922821
2017-05-12 16:00:00,0.19451642,0.15173028,0.18160088,0.17489661,0.1794584,0.16510835
2017-05-12 17:00:00,0.17670108,0.15363428,0.16227552,0.16535546,0.17237994,0.16988987
2017-05-12 18:00:00,0.16177922,0.17131859,0.17290291,0.15799515,0.1723623,0.17409495
2017-05-12 19:00:00,0.17427321,0.1746256,0.1749316,0.16664308,0.17224067,0.18302931
2017-05-12 20:00:00,0.16777405,0.15089951,0.19618171,0.16277131,0.14644386,0.1728775
2017-05-14 21:00:00,0.18755536,0.18380666,0.17596577,0.18232639,0.17521936,0.16161159
2017-05-14 22:00:00,0.182767,0.15268803,0.18878609,0.16847466,0.18589401,0.16738904
2017-05-14 23:00:00,0.18031578,0.15943874,0.17445502,0.1593275,0.1561564,0.17209306
2017-05-15 00:00:00,0.16042116,0.17392197,0.18647298,0.15909123,0.16884927,0.17206538
2017-05-15 01:00:00,0.16325593,0.16829872,0.19477418,0.15712972,0.1759972,0.16975392
2017-05-15 02:00:00,0.19069797,0.181465,0.16716097,0.16944246,0.16628158,0.1449747
2017-05-15 03:00:00,0.18194148,0.18897888,0.1785087,0.1707104,0.18044485,0.15126418
2017-05-15 04:00:00,0.1679007,0.17156866,0.17314936,0.16211636,0.16958722,0.17238982
2017-05-15 05:00:00,0.18552141,0.17810607,0.17538944,0.17127094,0.15947089,0.16574253
2017-05-15 06:00:00,0.1955103,0.18610586,0.1671264,0.16602565,0.16879928,0.16384597
2017-05-15 07:00:00,0.18540037,0.16710947,0.16597652,0.16959357,0.17609341,0.17975765
2017-05-15 08:00:00,0.17480285,0.16887596,0.20586812,0.14855829,0.17880715,0.16348162
2017-05-15 09:00:00,0.19755843,0.17996429,0.1799491,0.16274373,0.17597976,0.15709363
2017-05-15 10:00:00,0.17796646,0.16807406,0.18950464,0.16461356,0.1879131,0.15480967
2017-05-15 11:00:00,0.1704722,0.16327383,0.17539592,0.14221814,0.1851334,0.17125462
2017-05-15 12:00:00,0.1793592,0.16930415,0.19236298,0.15361075,0.18145318,0.16616601
2017-05-15 13:00:00,0.15931338,0.18557888,0.17917256,0.141172,0.15466182,0.15557879
2017-05-15 14:00:00,0.16426629,0.15038481,0.1732509,0.14685832,0.14271978,0.14520624
2017-05-15 15:00:00,0.16147175,0.16868936,0.16911767,0.137602,0.18425134,0.15169616
2017-05-15 16:00:00,0.16796876,0.15686008,0.16751587,0.15925778,0.16442868,0.15737966
2017-05-15 17:00:00,0.1597332,0.14504257,0.16068633,0.16830312,0.15497202,0.15667634
2017-05-15 18:00:00,0.14889061,0.1558545,0.1597221,0.13677791,0.17230587,0.15764202
2017-05-15 19:00:00,0.15940702,0.15545905,0.17775707,0.15727788,0.1668777,0.15243118
2017-05-15 20:00:00,0.16082112,0.1589238,0.17091185,0.15332201,0.16243275,0.15413016
2017-05-15 21:00:00,0.16761348,0.16247787,0.16859327,0.144712,0.15633298,0.17203526
2017-05-15 22:00:00,0.16813357,0.15906897,0.17321429,0.15419935,0.17516351,0.16818008
2017-05-15 23:00:00,0.17007968,0.16200845,0.17452706,0.15801224,0.1645216,0.15662786
2017-05-16 00:00:00,0.16205789,0.16771,0.14684744,0.15118797,0.16790903,0.14866376
2017-05-16 01:00:00,0.16036147,0.14026529,0.16469853,0.1465841,0.16701196,0.15715013
2017-05-16 02:00:00,0.18620771,0.13807045,0.17671204,0.14479762,0.17545663,0.14692305
2017-05-16 03:00:00,0.15466689,0.15204796,0.17159632,0.15941526,0.15099597,0.14779359
2017-05-16 04:00:00,0.1582702,0.13220221,0.17682333,0.15106557,0.17106578,0.14466776
2017-05-16 05:00:00,0.17715275,0.13242708,0.1623489,0.14893632,0.15771563,0.16985354
2017-05-16 06:00:00,0.17096095,0.15455166,0.16075581,0.14785767,0.14473474,0.15308437
2017-05-16 07:00:00,0.17462617,0.14993456,0.16911283,0.15156071,0.14288755,0.13962674
2017-05-16 08:00:00,0.16597508,0.13918361,0.15763375,0.13693538,0.13924167,0.15492815
2017-05-16 09:00:00,0.15095393,0.14470823,0.15166238,0.15380847,0.14776394,0.15010549
